,WH-0-7777,WH-0-8888,WH-0-UNITY,WH-1-SIRIUS,WH-1-ARCTU,WH-1-PLEIAD,WH-2-ANDROM,WH-2-VIRGO,WH-M1-QFOAM,WH-M1-ZPE
WH-0-7777,1.0,0.2867453006134768,0.1830061831722627,0.00011853859594453341,5.8085620870881586e-05,2.3441811603176055e-05,3.097653148778807e-08,1.9133026392082686e-08,0.0005491112498227795,0.00892743670262084
WH-0-8888,0.2867453006134768,1.0,0.26784029151145927,0.00018347709656456546,8.654141173394345e-05,3.9539502285258107e-05,4.646705721094978e-08,3.0004600569137817e-08,0.0007667894050017789,0.010490152445584324
WH-0-UNITY,0.1830061831722627,0.26784029151145927,1.0,0.000395018141148363,0.0001943142800657523,9.476532252676707e-05,1.0904349052034288e-07,6.51406288635501e-08,0.0005485836327224812,0.0069137838748809105
WH-1-SIRIUS,0.00011853859594453341,0.00018347709656456546,0.000395018141148363,1.0,0.18459931017026335,0.08255835569571261,0.00010100796308273982,6.466596326058915e-05,3.050835623176382e-07,4.2925782794615515e-06
WH-1-ARCTU,5.8085620870881586e-05,8.654141173394345e-05,0.0001943142800657523,0.18459931017026335,1.0,0.09189011110193254,0.00012699636595956673,7.781892424004022e-05,1.172928380772112e-07,1.984429723590348e-06
WH-1-PLEIAD,2.3441811603176055e-05,3.9539502285258107e-05,9.476532252676707e-05,0.08255835569571261,0.09189011110193254,1.0,0.00014767347441206074,8.415188184054893e-05,2.3934346361672685e-08,7.850262312323574e-07
WH-2-ANDROM,3.097653148778807e-08,4.646705721094978e-08,1.0904349052034288e-07,0.00010100796308273982,0.00012699636595956673,0.00014767347441206074,1.0,0.2971564430134691,8.71659032447056e-11,1.1492351360947307e-09
WH-2-VIRGO,1.9133026392082686e-08,3.0004600569137817e-08,6.51406288635501e-08,6.466596326058915e-05,7.781892424004022e-05,8.415188184054893e-05,0.2971564430134691,1.0,4.7280804161914856e-11,6.85604616662036e-10
WH-M1-QFOAM,0.0005491112498227795,0.0007667894050017789,0.0005485836327224812,3.050835623176382e-07,1.172928380772112e-07,2.3934346361672685e-08,8.71659032447056e-11,4.7280804161914856e-11,1.0,0.008151916039545912
WH-M1-ZPE,0.00892743670262084,0.010490152445584324,0.0069137838748809105,4.2925782794615515e-06,1.984429723590348e-06,7.850262312323574e-07,1.1492351360947307e-09,6.85604616662036e-10,0.008151916039545912,1.0
